hostname,file_path,file_name,extension,size_bytes,sha256,created_time,owner
WIN-FIN-02,C:\Users\diana\Downloads\setup.exe,setup.exe,exe,2047367,d02c881900ff646bd0dd9d117e6912746409f78f709c53213252229a5769305c,2026-03-12 09:44:00,helen
WIN-LAB-03,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,2167,bce63eea508142a330ee583de4079ddeccc8a3d2d5fb211a7c112474886e3f45,2026-03-12 10:24:00,alice
WIN-FIN-02,C:\Users\diana\Downloads\setup.exe,setup.exe,exe,2047459,52920d6dcc6fd645c0ca04943b72275246dcddee426871292fd494615c58ea4e,2026-03-12 11:39:00,alice
WIN-LAB-03,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,2496,2b13babe549823930499ce37ee3d2a1935f5544c5c436b845781da20c98d32c5,2026-03-12 12:44:00,fatima
WIN-FIN-02,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,5343,0da10a80c4008361a5011a925f88cea694094b66b9ac99ebd4208e544619c393,2026-03-12 13:28:00,charlie
WIN-ACCT-01,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,70912,7134873a9f31b8f3db70d03e409f871ee0fc63365f3babb428bc22297ee20b0e,2026-03-12 15:30:00,svc_backup
WIN-ACCT-01,C:\Users\alice\Documents\report.docx,report.docx,docx,24767,1d876d3b6d59c0108d4200db27a6dfb517fcef6e111135afb3566a290ca1849d,2026-03-12 15:59:00,charlie
WIN-LAB-03,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,1734,340bc7f8f7ac2b031645d08368b1d8fa9d1548c5ed264d1e4da3a285c6db80a5,2026-03-12 17:01:00,svc_backup
WIN-FIN-02,C:\Users\diana\Downloads\setup.exe,setup.exe,exe,2047088,3066493a97f4e0f7dfd174c34b7b166c6e1208d74b4a48cd7bcb8f9232682723,2026-03-12 17:02:00,edward
WIN-LAB-03,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,2965,47e43f9ac9a75f1a2b3b692c6d373acb21ad069a0a743f5700ab81ca2dd52a2b,2026-03-12 18:29:00,admin
WIN-LAB-03,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,3583,93dc235c3e7c4b265647ccce3e62baf914df712a2b06406da0c91ee0929a5eaf,2026-03-12 19:13:00,fatima
WIN-ACCT-01,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,71810,a2fe9467566976c6986ceeba46eec31ee382e05b855a2510a5396ef0d5840bbe,2026-03-12 20:54:00,svc_backup
WIN-LAB-03,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,1790,6de18441c59366d434cab4736c93641d25bf8bb4bf49ec30796dcd2d45687ec6,2026-03-12 21:05:00,admin
WIN-ACCT-01,C:\Users\diana\Downloads\setup.exe,setup.exe,exe,2047060,b196854591902419652f8cc4042f92cef184ea69ac5f443c3929745f244c05cd,2026-03-12 21:35:00,alice
WIN-ACCT-01,C:\Users\diana\Downloads\setup.exe,setup.exe,exe,2047834,dd584c65363a6b03e52542af6fb9fe1429db3a89ef1acf5b6ef9bcb0dfa03eb4,2026-03-12 23:24:00,fatima
WIN-ACCT-01,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,5102,5ab11ecc70f860e6a25953d345681a8fe51b1b5356946aa06e4525b52d922515,2026-03-13 00:54:00,svc_backup
WIN-ACCT-01,C:\Users\edward\Downloads\archive.zip,archive.zip,zip,649026,171ccfb6779ebed55e45007422f628c20ccba4d1320217d78a8cda6ca20970e8,2026-03-13 02:41:00,admin
